"hki_id","tel1","name","pref_cd","jyusyo_banti","zip_code","n_stations","jyusyo","jyusyo_all","city_cd","city_name","latitude","longitude","sginfo"
"520000265035740001","03-3379-8810","ローソン／渋谷初台１丁目店","13","１０－７","151-0061","初台駅,参宮橋駅","東京都渋谷区初台１丁目","東京都渋谷区初台１丁目１０－７","13113","渋谷区","35.6783507927","139.6868643064","コンビニエンスストア"
"131602752181460370","03-5468-5002","ファミリーマート／青山オーバルビル店","13","５２－２","150-0001","表参道駅,渋谷駅","東京都渋谷区神宮前５丁目","東京都渋谷区神宮前５丁目５２－２","13113","渋谷区","35.6627388482","139.7089431916","コンビニエンスストア"
"131995813100000899","03-3469-0324","ローソン／笹塚駅前店","13","２８","151-0073","笹塚駅,代田橋駅","東京都渋谷区笹塚１丁目","東京都渋谷区笹塚１丁目２８","13113","渋谷区","35.6728010447","139.6673051863","コンビニエンスストア"
"134934841115580910","03-3447-7380","セブン‐イレブン／渋谷恵比寿１丁目南店","13","２２－２１－１Ｆ","150-0013","恵比寿駅,代官山駅","東京都渋谷区恵比寿１丁目","東京都渋谷区恵比寿１丁目２２－２１－１Ｆ","13113","渋谷区","35.6460967148","139.7138935468","コンビニエンスストア"
"137014333100000899","03-3499-2116","セブン‐イレブン／渋谷１丁目店","13","１１－６","150-0002","渋谷駅,明治神宮前〈原宿〉駅","東京都渋谷区渋谷１丁目","東京都渋谷区渋谷１丁目１１－６","13113","渋谷区","35.6608609718","139.7045186455","コンビニエンスストア"
"137091151132851100","03-3486-7710","セブン‐イレブン／渋谷金王坂上店","13","１０－１３","150-0002","渋谷駅,表参道駅","東京都渋谷区渋谷２丁目","東京都渋谷区渋谷２丁目１０－１３","13113","渋谷区","35.660178079","139.7064745145","コンビニエンスストア"
"520000253991000001","03-5489-7403","ファミリーマート／渋谷道玄坂プラザ通り店","13","７－１－１Ｆ","150-0043","渋谷駅,神泉駅","東京都渋谷区道玄坂１丁目","東京都渋谷区道玄坂１丁目７－１－１Ｆ","13113","渋谷区","35.6576562275","139.6995332071","コンビニエンスストア"
"132073624148660470","03-3469-1801","ＪＰローソン代々木郵便局店","13","４２－２","151-0066","幡ヶ谷駅,初台駅","東京都渋谷区西原１丁目","東京都渋谷区西原１丁目４２－２","13113","渋谷区","35.676842876","139.6823977467","コンビニエンスストア"
"136944313100000899","03-3461-0701","ミニストップ渋谷桜丘店","13","６－６","150-0031","渋谷駅,代官山駅","東京都渋谷区桜丘町","東京都渋谷区桜丘町６－６","13113","渋谷区","35.6543646415","139.7030780643","コンビニエンスストア"
"139092234177151000","03-3374-7726","スリーエフ笹塚３丁目店","13","１９－１４","151-0073","笹塚駅,幡ヶ谷駅","東京都渋谷区笹塚３丁目","東京都渋谷区笹塚３丁目１９－１４","13113","渋谷区","35.6764086488","139.6667320678","コンビニエンスストア"
"132605038170571540","03-5354-3121","ファミリーマート／幡ヶ谷駅北口店","13","１３－４","151-0072","幡ヶ谷駅,初台駅","東京都渋谷区幡ヶ谷２丁目","東京都渋谷区幡ヶ谷２丁目１３－４","13113","渋谷区","35.6776086956","139.6767621795","コンビニエンスストア"
"133181444190280910","03-3409-7715","セブン‐イレブン／渋谷並木橋店","13","３２－１２","150-0011","渋谷駅,代官山駅","東京都渋谷区東１丁目","東京都渋谷区東１丁目３２－１２","13113","渋谷区","35.6541257191","139.7060578278","コンビニエンスストア"
"133691804154360820","03-3446-2044","ローソン／恵比寿三丁目店","13","１－７","150-0013","恵比寿駅,広尾駅","東京都渋谷区恵比寿３丁目","東京都渋谷区恵比寿３丁目１－７","13113","渋谷区","35.6453658406","139.7166243537","コンビニエンスストア"
"520000214054090001","03-6427-7741","ＬＡＷＳＯＮプラストークス（ｔｏｋｓ）／渋谷スクランブルスクエア９階店","13","２４－１２－９Ｆ","150-0002","渋谷駅,神泉駅","東京都渋谷区渋谷２丁目","東京都渋谷区渋谷２丁目２４－１２－９Ｆ","13113","渋谷区","35.6584811816","139.701954968","コンビニエンスストア"
"138423751195830240","03-5464-1781","ファミリーマート／渋谷明治通り店","13","１２－２２","150-0002","渋谷駅,代官山駅","東京都渋谷区渋谷３丁目","東京都渋谷区渋谷３丁目１２－２２","13113","渋谷区","35.656367473","139.7056937549","コンビニエンスストア"
"520000160792470001","03-3408-5777","ローソン／神宮前三丁目マイセン通り店","13","３－８－１Ｆ","150-0001","表参道駅,外苑前駅","東京都渋谷区神宮前３丁目","東京都渋谷区神宮前３丁目３－８－１Ｆ","13113","渋谷区","35.6690102455","139.7128375794","コンビニエンスストア"
"131301508013580170","03-5725-5852","ファミリーマート／恵比寿駅南店","13","２０－１１－１Ｆ","150-0022","恵比寿駅,代官山駅","東京都渋谷区恵比寿南１丁目","東京都渋谷区恵比寿南１丁目２０－１１－１Ｆ","13113","渋谷区","35.6440628651","139.7100439602","コンビニエンスストア"
"138904510158671670","03-5371-0528","セブン‐イレブン／渋谷笹塚２丁目店","13","１５－１","151-0073","笹塚駅,代田橋駅","東京都渋谷区笹塚２丁目","東京都渋谷区笹塚２丁目１５－１","13113","渋谷区","35.6745318489","139.6666961572","コンビニエンスストア"
"135654815178160670","03-3461-2965","デイリーヤマザキ渋谷区神南店","13","６－１２","150-0041","渋谷駅,明治神宮前〈原宿〉駅","東京都渋谷区神南１丁目","東京都渋谷区神南１丁目６－１２","13113","渋谷区","35.6645244916","139.6994578971","コンビニエンスストア"
"136731662100000899","03-3378-9180","セブン‐イレブン／渋谷本町店","13","４４－７","151-0071","幡ヶ谷駅,中野新橋駅","東京都渋谷区本町５丁目","東京都渋谷区本町５丁目４４－７","13113","渋谷区","35.6828470907","139.6742091503","コンビニエンスストア"
"520000024169350001","03-3299-5977","セブン‐イレブン／笹塚２丁目１０号通り店","13","１０－５","151-0073","笹塚駅,幡ヶ谷駅","東京都渋谷区笹塚２丁目","東京都渋谷区笹塚２丁目１０－５","13113","渋谷区","35.6755337678","139.6681909869","コンビニエンスストア"
"132800701187141600","03-3479-3035","ミニストップ神宮前２丁目店","13","１２－２","150-0001","外苑前駅,国立競技場駅","東京都渋谷区神宮前２丁目","東京都渋谷区神宮前２丁目１２－２","13113","渋谷区","35.6741546863","139.7123283848","コンビニエンスストア"
"135713119025971840","03-5778-3090","ファミリーマート／表参道中央店","13","９－１","150-0001","明治神宮前〈原宿〉駅,原宿駅","東京都渋谷区神宮前６丁目","東京都渋谷区神宮前６丁目９－１","13113","渋谷区","35.6671583136","139.7053962827","コンビニエンスストア"
"138603111112961260","03-5354-6499","ローソンストア１００渋谷本町三丁目店","13","４８－２１","151-0071","西新宿五丁目駅,初台駅","東京都渋谷区本町３丁目","東京都渋谷区本町３丁目４８－２１","13113","渋谷区","35.6876807283","139.6830611926","コンビニエンスストア"
"520000152609700001","03-3496-4588","ローソン／渋谷ランブリングストリート店","13","２－３","150-0044","神泉駅,渋谷駅","東京都渋谷区円山町","東京都渋谷区円山町２－３","13113","渋谷区","35.6584920653","139.6953645149","コンビニエンスストア"
"520000517665700001","03-5413-3027","ファミリーマート／渋谷原宿通り店","13","２５－５－１Ｆ","150-0001","明治神宮前〈原宿〉駅,原宿駅","東京都渋谷区神宮前３丁目","東京都渋谷区神宮前３丁目２５－５－１Ｆ","13113","渋谷区","35.6714379046","139.7081878538","コンビニエンスストア"
